dataset,scale,subtype,metric,n,n_full,mean_rho,std_rho,n_seeds
amazon,C,aggregate_cross_paper,faithfulness,20,33,0.6709808212932562,0.14883965447069897,20
amazon,C,aggregate_cross_paper,faithfulness,30,33,0.9240762296418165,0.026253804905794022,20
amazon,C,aggregate_cross_paper,faithfulness,33,33,0.9999999999999998,1.1102230246251565e-16,20
amazon,C,aggregate_cross_paper,answer_relevance,3,33,0.3548361352060877,0.331062823698559,20
amazon,C,aggregate_cross_paper,answer_relevance,5,33,0.46823931623931625,0.3175424000580265,20
amazon,C,aggregate_cross_paper,answer_relevance,10,33,0.5885811965811966,0.29792819853728686,20
amazon,C,aggregate_cross_paper,answer_relevance,15,33,0.6972991452991454,0.2325260987239308,20
amazon,C,aggregate_cross_paper,answer_relevance,20,33,0.7982222222222222,0.1457045565859914,20
amazon,C,aggregate_cross_paper,answer_relevance,30,33,0.9450598290598291,0.053403974693956247,20
amazon,C,aggregate_cross_paper,answer_relevance,33,33,0.9999999999999998,1.1102230246251565e-16,20
amazon,C,aggregate_cross_paper,context_relevance,3,33,0.7644116038866111,0.14425839401968354,20
amazon,C,aggregate_cross_paper,context_relevance,5,33,0.7773004902270959,0.19043389375822625,20
amazon,C,aggregate_cross_paper,context_relevance,10,33,0.8829108015250948,0.13938871154401092,20
amazon,C,aggregate_cross_paper,context_relevance,15,33,0.9430997501186352,0.05088784748978155,20
amazon,C,aggregate_cross_paper,context_relevance,20,33,0.978154082792434,0.01599810746825959,20
amazon,C,aggregate_cross_paper,context_relevance,30,33,0.9933248142443342,0.008528732692965252,20
amazon,C,aggregate_cross_paper,context_relevance,33,33,1.0,0.0,20
amazon,C,aggregate_cross_paper,composite,3,33,0.6394188034188033,0.16575482670435507,20
amazon,C,aggregate_cross_paper,composite,5,33,0.7089572649572649,0.11269182507861873,20
amazon,C,aggregate_cross_paper,composite,10,33,0.7863931623931624,0.08362546909293811,20
amazon,C,aggregate_cross_paper,composite,15,33,0.827965811965812,0.052389366993495036,20
amazon,C,aggregate_cross_paper,composite,20,33,0.8856752136752135,0.05458817454143557,20
amazon,C,aggregate_cross_paper,composite,30,33,0.9695726495726497,0.020562333406431516,20
amazon,C,aggregate_cross_paper,composite,33,33,0.9999999999999998,1.1102230246251565e-16,20
amazon,C,edge_multihop,faithfulness,3,34,0.431715396575011,0.43971684690556484,20
amazon,C,edge_multihop,faithfulness,5,34,0.529252320756328,0.31996834062256313,20
amazon,C,edge_multihop,faithfulness,10,34,0.7363526801357871,0.1904990303434096,20
amazon,C,edge_multihop,faithfulness,15,34,0.8616188333766471,0.06630338072752731,20
amazon,C,edge_multihop,faithfulness,20,34,0.9087017387258569,0.042577998583209466,20
amazon,C,edge_multihop,faithfulness,30,34,0.9765971872402828,0.012647389198266488,20
amazon,C,edge_multihop,faithfulness,34,34,0.9999999999999998,1.1102230246251565e-16,20
amazon,C,edge_multihop,answer_relevance,3,34,0.6638300967665728,0.1885745489480948,20
amazon,C,edge_multihop,answer_relevance,5,34,0.7251193407459617,0.13147720825006454,20
amazon,C,edge_multihop,answer_relevance,10,34,0.8298405340819339,0.08769722496936207,20
amazon,C,edge_multihop,answer_relevance,15,34,0.895217220691023,0.048939060700768484,20
amazon,C,edge_multihop,answer_relevance,20,34,0.9259506997541349,0.03367800574193155,20
amazon,C,edge_multihop,answer_relevance,30,34,0.9685763293310462,0.01748238822717204,20
amazon,C,edge_multihop,answer_relevance,34,34,1.0,0.0,20
amazon,C,edge_multihop,context_relevance,3,34,0.7261961165162338,0.13413075814029002,20
amazon,C,edge_multihop,context_relevance,5,34,0.7665359019198987,0.13196137755207615,20
amazon,C,edge_multihop,context_relevance,10,34,0.8589325997432897,0.1042547336169963,20
amazon,C,edge_multihop,context_relevance,15,34,0.9045109460827048,0.06105941191510183,20
amazon,C,edge_multihop,context_relevance,20,34,0.9466265617933445,0.036996780084950866,20
amazon,C,edge_multihop,context_relevance,30,34,0.9830309555059327,0.01608969964089159,20
