Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12b,categorical,1.8645652532577517,0.5559322033898305,0.7389830508474576,0.5864890813827515,0.5559322033898305,,,,0.4242128483311373,0.4242128483311373,0.456600678347804,0.0,0.4242128483311373,-0.05960226434989292,graph_lift,983,15.821,7.514162288231781,3.2653574286538327,47,test,False,,,,2
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1376599222421646,0.1483797535240805,0.1502489814979893,0.0,0.1483797535240805,-0.0021997360794035518,graph_lift,983,15.821,7.514162288231781,,47,test,False,,,,2
M1,N7,E10b,T12b,categorical,1.8729140758514404,0.5387205387205387,0.7306397306397306,0.5877119302749634,0.5387205387205387,,,,0.4040247030158134,0.4040247030158134,0.4113231964823575,0.0,0.4040247030158134,-0.012398133276072537,graph_lift,988,15.876,7.504941832012794,3.253379173093666,47,test,False,,,,3
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1581452935934066,0.1817799840703476,0.1678544519184237,0.0167344909601785,0.1817799840703476,0.016734490960178452,graph_lift,988,15.876,7.504941832012794,,47,test,False,,,,3
M1,N7,E10b,T12b,categorical,1.9543557167053225,0.5503355704697986,0.714765100671141,0.5929157733917236,0.5503355704697986,,,,0.3694910888664535,0.3694910888664535,0.4172093749489967,0.0,0.3694910888664535,-0.08187895280293346,graph_lift,991,15.554,7.518404823962775,3.2737854132985538,47,test,False,,,,4
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1719206124544143,0.1006649954800948,0.1436275962951822,0.0,0.1006649954800948,-0.05016812852588853,graph_lift,991,15.554,7.518404823962775,,47,test,False,,,,4
M1,N7,E10b,T12b,categorical,2.076426267623902,0.5521885521885522,0.6835016835016835,0.587247908115387,0.5521885521885522,,,,0.3541295224721471,0.3541295224721471,0.4027485830339424,0.0,0.3541295224721471,-0.08140468014085664,graph_lift,989,15.508,7.517523972497633,3.2861798848086297,47,test,False,,,,5
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.14596588909626,0.1062997822772356,0.0517704663412868,0.057506451761262,0.1062997822772356,0.057506451761262053,graph_lift,989,15.508,7.517523972497633,,47,test,False,,,,5
M1,N7,E10b,T12b,categorical,2.0697944164276123,0.5250836120401338,0.6755852842809364,0.5599977374076843,0.5250836120401338,,,,0.3499913584691617,0.3499913584691617,0.3671542849171695,0.0,0.3499913584691617,-0.02712023805954258,graph_lift,994,15.137,7.544975984300849,3.2644918555047315,47,test,False,,,,6
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1608279198408126,0.0,0.0451831947011814,0.0,0.0,-0.04732132326372378,graph_lift,994,15.137,7.544975984300849,,47,test,False,,,,6
M1,N7,E10b,T12b,categorical,1.79792320728302,0.5886287625418061,0.7357859531772575,0.6128279566764832,0.5886287625418061,,,,0.4283336061520911,0.4283336061520911,0.4491599756838653,0.0,0.4283336061520911,-0.03780838104062978,graph_lift,994,15.455,7.550936336080205,3.2574911900866543,47,test,False,,,,7
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1434382647275924,0.0,0.0,0.0,0.0,0.0,graph_lift,994,15.455,7.550936336080205,,47,test,False,,,,7
