Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12b,categorical,0.9630143046379088,0.7066666666666667,0.9233333333333332,0.7457619309425354,0.7066666666666667,,,,0.3641607517758105,0.3641607517758105,0.3246362642687128,0.0585232600093642,0.3641607517758105,0.05852326000936427,graph_lift,1000.0,10.103,6.806733673655556,1.440185309595298,10.0,test,False,,,,9
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1115753725171089,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,10.103,6.806733673655556,,10.0,test,False,,,,9
M1,N7,E10b,T12e,categorical,1.4276528358459473,0.55,0.85,0.5909139513969421,0.55,,,,-0.0343019757747022,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,1.3871449488211751,10.0,train,False,,,,0
M5,N7,E10b,T12e,global_categorical,,,,,,,,,0.0985070392489433,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,10.0,train,False,,,,0
M1,N7,E10b,T12e,categorical,1.449185848236084,0.58,0.84,0.6045594811439514,0.58,,,,-0.0470093366041359,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,1.386668040094565,11.0,train,False,,,,1
M5,N7,E10b,T12e,global_categorical,,,,,,,,,0.0594747252762317,0.0,0.1268061644817286,0.0,0.0,-0.14522109447378848,graph_lift,1000.0,0.0,0.0,,11.0,train,False,,,,1
M1,N7,E10b,T12e,categorical,1.4373350143432615,0.5666666666666667,0.8366666666666667,0.6014031767845154,0.5666666666666667,,,,-0.0621939523350096,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,1.3335399472977525,11.0,train,False,,,,2
M5,N7,E10b,T12e,global_categorical,,,,,,,,,0.0970650464296341,0.0,0.2056128210811334,0.0,0.0,-0.25883199847329524,graph_lift,1000.0,0.0,0.0,,11.0,train,False,,,,2
M1,N7,E10b,T12e,categorical,1.4014650583267212,0.58,0.7966666666666666,0.6015173196792603,0.58,,,,-0.0954386784029022,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,1.3223657103782769,10.0,train,False,,,,3
M5,N7,E10b,T12e,global_categorical,,,,,,,,,0.1109595820307731,0.0,0.0677015259457882,0.0,0.0,-0.07261786630560488,graph_lift,1000.0,0.0,0.0,,10.0,train,False,,,,3
