Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E11a,T12e,categorical,2.3986380100250244,0.17,0.5066666666666667,0.3368373513221741,0.17,,,,-0.015700656642148,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.375907371809314,18.0,test,False,,,,2
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.0927744507789611,0.052149608105126,0.0866787713454196,0.0,0.052149608105126,-0.03780615423902797,graph_lift,1000.0,0.0,0.0,,18.0,test,False,,,,2
M1,N7,E11a,T12e,categorical,2.3576252460479736,0.2433333333333333,0.6033333333333334,0.3660689294338226,0.2433333333333333,,,,-0.0259709237704719,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.336384477949194,18.0,test,False,,,,3
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.1497942805290222,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,18.0,test,False,,,,3
M1,N7,E11a,T12e,categorical,2.474998950958252,0.1733333333333333,0.5433333333333333,0.3353329598903656,0.1733333333333333,,,,-0.0319472231635817,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.4126476269556356,18.0,test,False,,,,4
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.1482594013214111,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,18.0,test,False,,,,4
M1,N7,E11a,T12e,categorical,2.3547327518463135,0.2166666666666666,0.5666666666666667,0.355351448059082,0.2166666666666666,,,,-0.0375777803476706,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.3035439206879165,18.0,test,False,,,,5
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.1424337476491928,0.0,0.1866872410585947,0.0,0.0,-0.22953929961898517,graph_lift,1000.0,0.0,0.0,,18.0,test,False,,,,5
M1,N7,E11a,T12e,categorical,2.377223491668701,0.1666666666666666,0.5433333333333333,0.3393370509147644,0.1666666666666666,,,,-0.0170720930803407,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.328731242370615,18.0,test,False,,,,6
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.1214015185832977,0.0156632565959695,0.0,0.0156632565959695,0.0156632565959695,0.0156632565959695,graph_lift,1000.0,0.0,0.0,,18.0,test,False,,,,6
M1,N7,E11a,T12e,categorical,2.30971097946167,0.1766666666666666,0.59,0.364297479391098,0.1766666666666666,,,,-0.0274200006009208,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.3471716805067393,18.0,test,False,,,,7
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.1239760369062423,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,18.0,test,False,,,,7
M1,N7,E11a,T12e,categorical,2.3362605571746826,0.1966666666666666,0.57,0.3567021191120147,0.1966666666666666,,,,-0.012065620051245,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.3731727407972665,18.0,test,False,,,,8
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.0794198587536811,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,18.0,test,False,,,,8
M1,N7,E11a,T12e,categorical,2.442152261734009,0.1533333333333333,0.5266666666666666,0.3362548947334289,0.1533333333333333,,,,-0.0154294745463494,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.4133423140396397,18.0,test,False,,,,9
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.1071451753377914,0.1777230410745603,0.0788934698063511,0.1072943986700775,0.1777230410745603,0.10729439867007756,graph_lift,1000.0,0.0,0.0,,18.0,test,False,,,,9
M1,N7,E11b,T12a,categorical,0.9059574604034424,0.7333333333333333,0.88,0.7685068845748901,0.7333333333333333,,,,0.6048081581497942,0.6048081581497942,0.5915835400350147,0.0323802280542592,0.6048081581497942,0.032380228054259295,graph_lift,1000.0,130.415,7.250427333922261,2.3655266638301,18.0,train,False,,,,0
M5,N7,E11b,T12a,global_categorical,,,,,,,,,0.0845127999782562,0.0248522162871655,0.0,0.0248522162871655,0.0248522162871655,0.0248522162871655,graph_lift,1000.0,130.415,7.250427333922261,,18.0,train,False,,,,0
M1,N7,E11b,T12a,categorical,1.0779753923416138,0.67,0.8633333333333333,0.721085786819458,0.67,,,,0.5416508396665123,0.5416508396665123,0.5474069945493412,0.0,0.5416508396665123,-0.012718170218068932,graph_lift,1000.0,130.661,7.272168341507912,2.4031174329209217,18.0,train,False,,,,1
M5,N7,E11b,T12a,global_categorical,,,,,,,,,0.0880477875471115,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,130.661,7.272168341507912,,18.0,train,False,,,,1
M1,N7,E11b,T12a,categorical,1.1292742490768433,0.6833333333333333,0.8533333333333334,0.7217104434967041,0.6833333333333333,,,,0.5198568032718818,0.5198568032718818,0.5366248512151912,0.0,0.5198568032718818,-0.036186765706540974,graph_lift,1000.0,134.048,7.247702458283311,2.3920726910571597,18.0,train,False,,,,2
M5,N7,E11b,T12a,global_categorical,,,,,,,,,0.1012549549341201,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,134.048,7.247702458283311,,18.0,train,False,,,,2
