Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx,wall_time_seconds
M1,N7,E10b,T12a,categorical,1.8945550918579102,0.5892255892255892,0.7239057239057239,0.6078993678092957,0.5892255892255892,,,,0.40594781875337005,final_score,0.0,,0.40594781875337005,0.4695175835397921,0.0,0.40594781875337005,-0.11983387726705266,graph_lift,0.0,990,70.507,7.306697078132314,3.2575754519141786,47,train,False,,,,20,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1233816146850586,final_score,0.0,,0.240560803655434,0.3159378496240684,0.0,0.240560803655434,-0.11019034736421297,graph_lift,0.0,990,70.507,7.306697078132314,,47,train,False,,,,20,386.703
M1,N7,E10b,T12a,categorical,1.905194878578186,0.5488215488215489,0.7070707070707071,0.5913789868354797,0.5488215488215489,,,,0.39653230829156927,final_score,0.0,,0.39653230829156927,0.4827669279783702,0.0,0.39653230829156927,-0.1667229424246768,graph_lift,0.0,989,68.528,7.305591311656,3.2598206271434673,47,train,False,,,,21,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.16688945889472961,final_score,0.0,,0.12216473759574781,0.24934045346014352,0.0,0.12216473759574781,-0.1694186351863618,graph_lift,0.0,989,68.528,7.305591311656,,47,train,False,,,,21,386.703
M1,N7,E10b,T12a,categorical,1.9467014074325562,0.5627118644067797,0.7050847457627119,0.5865381360054016,0.5627118644067797,,,,0.40072004397331795,final_score,0.0,,0.40072004397331795,0.43019509656741883,0.0,0.40072004397331795,-0.05172832388162898,graph_lift,0.0,981,70.656,7.3248818130801014,3.240435928298362,47,train,False,,,,22,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1350395828485489,final_score,0.0,,0.27893183267032445,0.35146622091929663,0.0,0.27893183267032445,-0.11184365500867154,graph_lift,0.0,981,70.656,7.3248818130801014,,47,train,False,,,,22,386.703
M1,N7,E10b,T12a,categorical,1.5872503519058228,0.5959595959595959,0.7643097643097643,0.6470215916633606,0.5959595959595959,,,,0.49699190388472214,final_score,0.0,,0.49699190388472214,0.5161631844437882,0.0,0.49699190388472214,-0.039623443158261946,graph_lift,0.0,988,71.373,7.282141529731538,3.258287725568006,47,train,False,,,,23,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.15879879891872406,final_score,0.0,,0.1274115957038101,0.2669381999379671,0.0,0.1274115957038101,-0.1903340267114587,graph_lift,0.0,988,71.373,7.282141529731538,,47,train,False,,,,23,386.703
M1,N7,E10b,T12a,categorical,1.8312705755233765,0.587248322147651,0.7281879194630873,0.6185715198516846,0.587248322147651,,,,0.4321050103330095,final_score,0.013082510704695233,,0.4321050103330095,0.4245770332102552,0.013082510704695233,0.4321050103330095,0.013082510704695233,graph_lift,1.3082510704695234,991,68.995,7.281455084737884,3.2596707095762265,47,train,False,,,,24,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.17112112045288086,final_score,0.0,,0.23108860301138234,0.2323587679681137,0.0,0.23108860301138234,-0.0016546335758559033,graph_lift,0.0,991,68.995,7.281455084737884,,47,train,False,,,,24,386.703
